type,total_price,carat,price_per_carat,color,shape,length,width,height,clarity,cut,color_intensity,origin,treatment,cut_quality
Yellow Sapphire,354,1.18,300,Yellow,Oval,6.68,5.47,3.95,Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Poor
Yellow Sapphire,354,0.59,600,Yellow,Round,5.14,5.13,3.17,Very Slightly Included,Emerald Cut,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,355,0.71,500,Blue,Oval,6.21,4.56,2.88,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,355,0.71,500,Blue,Asscher - Octagon,4.85,4.79,3.43,Very Slightly Included,Asscher,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,355,0.71,500,Blue,Oval,5.9,4.67,3,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Green Sapphire,355,0.71,500,Green,Oval,6.2,4.27,3.12,Slightly Included,Mixed Brilliant,Light,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,355,0.71,500,Yellow,Pear,6.93,5.02,2.98,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,355,0.71,500,Yellow,Round,5.79,5.72,3.1,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,356,0.89,400,Blue,Pear,7.25,4.35,3.8,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,356,0.89,400,Blue,Cushion,6.19,5.16,3.28,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,356,0.89,400,Blue,Oval,6.71,4.98,3.08,Very Slightly Included,Mixed Brilliant,Faint,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,356,0.89,400,Blue,Cushion,6.85,4.33,3.21,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,356,0.89,400,Blue,Round,5.52,5.48,3.87,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,356,0.89,400,Blue,Emerald Cut,6.97,4.63,2.73,Very Slightly Included,Emerald Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,356,0.89,400,Color Change,Oval,6.26,4.48,3.84,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,356,0.89,400,Pink,Princess,5.11,5.1,3.69,Very Slightly Included,Princess Cut,Very Light,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,356,0.89,400,Pink,Oval,7.07,4.96,3.45,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,356,0.89,400,Purplish Pink,Trillion,6.1,6.12,3.42,Very Slightly Included,Trillion Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,356,0.79,451,Yellow,Round,5.61,5.52,3.64,Very Slightly Included,Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,356,0.89,400,Yellow,Emerald Cut,6.87,5.01,2.76,Very Slightly Included,Mixed Brilliant,Faint,Ceylon (Sri Lanka),No Enhancement,Very Good
Pink Sapphire,357,1.05,340,Pinkish Purple,Radiant,7.22,5.2,3.26,Very Slightly Included,Radiant Cut,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Ruby,357,0.51,700,Purplish Red,Oval,4.41,3.63,3.34,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Very Good
Ruby,357,0.51,700,Red,Oval,5.34,4.08,2.58,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,357,0.51,700,Red,Oval,5.32,3.68,3.03,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,357,0.51,700,Red,Cushion,5.02,4.32,2.71,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,357,0.51,700,Red,Cushion,4.84,4.58,2.46,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,357,0.51,700,Orangish Red,Oval,5.03,4.31,2.58,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,357,0.51,700,Pinkish Red,Oval,4.68,4.14,2.76,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Pink Sapphire,358,0.49,731,Pink,Emerald Cut,5.22,3.12,2.53,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Very Good
Yellow Sapphire,358,0.65,551,Yellow,Oval,6.16,4.89,2.42,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,359,0.63,570,Blue,Oval,5.89,4.28,2.8,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,359,0.66,544,Pink,Emerald Cut,6.11,3.97,2.68,Very Slightly Included,Emerald Cut,Medium,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,360,0.9,400,Blue,Round,5.78,5.74,3.49,Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,360,0.72,500,Blue,Oval,6.63,4.17,3.07,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,360,0.72,500,Blue,Cushion,6.25,4.76,2.65,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,360,0.62,581,Blue,Round,5.01,5.05,2.97,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,360,0.9,400,Blue,Pear,7.68,5.45,3.11,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,360,1.2,300,Purplish Pink,Emerald Cut,6.73,5.56,3.49,Very Slightly Included,Emerald Cut,Medium Light,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,360,0.72,500,Pink,Round,5.74,5.66,2.99,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,360,0.9,400,Pink,Cushion,5.69,5.63,3.01,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,360,0.6,600,Pink,Round,5.38,5.35,3.01,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
White Sapphire,360,0.72,500,White,Cushion,5.43,4.48,3.68,Eye Clean,Mixed Brilliant,Colorless,Ceylon (Sri Lanka),No Enhancement,Good
White Sapphire,360,0.6,600,White,Round,5.27,5.23,3.15,Very Slightly Included,Mixed Brilliant,Colorless,Ceylon (Sri Lanka),No Enhancement,Good
Green Sapphire,361,0.82,440,Green,Oval,5.9,4.45,3.67,Very Slightly Included,Mixed Brilliant,Medium,Africa,Heated,Fair
Green Sapphire,361,0.88,410,Green,Oval,6.34,4.74,3.4,Very Slightly Included,Mixed Brilliant,Dark,Africa,Heated,Good
Pink Sapphire,361,0.76,475,Purplish Pink,Oval,6.93,4.84,3.11,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,361,1.03,350,Yellow,Cushion,5.91,5.31,3.91,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,363,0.66,550,Blue,Pear,6.1,4.92,3,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,363,1.21,300,Blue,Oval,7.1,5.15,4.01,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,363,0.44,825,Blue,Princess,4.15,4.12,2.97,Eye Clean,Princess Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,363,0.33,1100,Blue,Emerald Cut,4.8,3.02,2.17,Very Slightly Included,Emerald Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Excellent
Ruby,363,0.31,1171,Pinkish Red,Round,4.2,4.15,2.05,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Good
Yellow Sapphire,363,0.66,550,Yellow,Round,5.61,5.61,3.03,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Pink Sapphire,364,0.91,400,Pinkish Purple,Emerald Cut,6.38,4.65,3.13,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Ruby,364,0.52,700,Purplish Red,Oval,5.09,4.82,2.14,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Very Good
Ruby,364,0.52,700,Pinkish Red,Oval,5.08,3.86,2.82,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,364,0.43,700,Pinkish Red,Oval,4.54,3.54,2.92,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,364,0.52,700,Pinkish Red,Oval,5.12,4.27,2.63,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,364,0.52,700,Red,Oval,5.04,4.14,2.62,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
White Sapphire,364,1.04,350,White,Round,6.45,6.46,3.67,Very Slightly Included,Mixed Brilliant,Colorless,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,364,0.91,400,Yellow,Trillion,6.12,6.24,3.67,Very Slightly Included,Trillion Cut,Intense,Ceylon (Sri Lanka),Heated,Very Good
Yellow Sapphire,364,1.05,350,Yellowish Orange,Cushion,5.6,5.61,4.2,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,364,0.91,400,Yellow,Radiant,6.06,5.09,3.29,Eye Clean,Radiant Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,365,0.73,500,Color Change,Cushion,5.53,4.81,3.15,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,365,0.73,500,Blue,Asscher - Octagon,5.08,5.08,3.04,Very Slightly Included,Asscher,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,365,0.73,500,Blue,Oval,6.7,5.25,2.47,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,365,0.73,500,Greyish Blue,Cushion,5.49,4.53,3.25,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,365,0.73,500,Blue,Oval,6.15,4.87,3.07,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,365,0.73,500,Blue,Cushion,7.21,4.65,2.31,Eye Clean,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,365,0.73,500,Blue,Emerald Cut,6.19,4.16,2.52,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,365,0.73,500,Blue,Round,5.27,5.24,3.09,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,365,0.73,500,Blue,Round,5.32,5.28,3.08,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,365,0.73,500,Blue,Emerald Cut,6.08,4.06,2.86,Very Slightly Included,Emerald Cut,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,365,0.73,500,Blue,Pear,7.03,4.96,3.22,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,365,0.81,451,Yellow,Round,5.6,5.52,3.72,Eye Clean,Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,366,0.77,475,Blue,Cushion,6.05,4.41,3.82,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,366,0.61,600,Blue,Oval,6.05,4.13,2.75,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,366,1.22,300,Blue,Oval,7.59,5.48,3.59,Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Fair
Green Sapphire,366,0.61,600,Green,Round,5.52,5.45,2.96,Very Slightly Included,Mixed Brilliant,Medium Intense,Madagascar,No Enhancement,Fair
Ruby,366,0.37,989,Pinkish Red,Round,4.37,4.32,2.5,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Fair
Yellow Sapphire,366,0.61,600,Orangish Yellow,Cushion,4.84,4.68,3.31,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Excellent
Yellow Sapphire,366,1.22,300,Yellow,Round,6,6.02,4.31,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,368,0.92,400,Blue,Cushion,6.75,4.53,3.26,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,368,0.92,400,Blue,Emerald Cut,7.19,4.01,2.95,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,368,0.92,400,Blue,Round,5.79,5.79,3.45,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,368,0.92,400,Blue,Emerald Cut,6.75,4.87,3.21,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,368,0.92,400,Blue,Emerald Cut,6.97,4.87,2.86,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,368,0.64,575,Pinkish Purple,Round,5.14,5.06,3.59,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
White Sapphire,368,0.92,400,White,Oval,6.75,4.46,3.42,Slightly Included,Mixed Brilliant,Colorless,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,368,1.03,353,Yellow,Cushion,5.4,5.37,4.18,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,368,0.92,400,Yellow,Emerald Cut,6.5,4.56,3.42,Very Slightly Included,Emerald Cut,Very Light,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,368,1.05,350,Yellowish Orange,Cushion,5.62,5.61,4.1,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,368,1.05,350,Yellow,Radiant,7,5,3.51,Very Slightly Included,Radiant Cut,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,369,0.67,551,Blue,Pear,5.95,5.5,2.86,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,369,0.67,551,Color Change,Round,5.43,5.4,2.91,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,369,0.41,900,Purplish Pink,Cushion,4.32,4.28,2.45,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Pink Sapphire,369,0.67,551,Pink,Cushion,5.09,5.09,3.18,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Ruby,369,0.67,551,Purplish Red,Oval,5.89,4.29,2.71,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Fair
Blue Sapphire,370,0.74,500,Greyish Blue,Pear,6.65,4.87,2.72,Very Slightly Included,Mixed Brilliant,Light,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,370,0.74,500,Blue,Asscher - Octagon,5.04,5.04,3.43,Slightly Included,Asscher,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,370,0.37,1000,Blue,Fancy,4.88,5.38,2.16,Very Slightly Included,Step Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,370,0.74,500,Blue,Oval,5.87,4.59,3.29,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,370,0.87,425,Pinkish Purple,Oval,7,5.01,3.33,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,370,0.74,500,Pinkish Purple,Cushion,5.16,5.1,3.64,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,371,0.53,700,Blue,Pear,6.73,4.06,2.59,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Excellent
Blue Sapphire,371,0.53,700,Blue,Pear,6.75,4.07,2.63,Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Excellent
Pink Sapphire,371,0.57,651,Pink,Cushion,4.89,4.19,3.28,Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Good
Ruby,371,0.53,700,Pinkish Red,Oval,5.23,4.12,2.34,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Ruby,371,0.53,700,Red,Oval,4.83,4.06,3.25,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,371,0.53,700,Purplish Red,Oval,5.19,4.48,2.33,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,371,0.53,700,Red,Oval,4.99,4.17,2.62,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,371,0.53,700,Pinkish Red,Oval,4.78,4.02,2.96,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,371,0.53,700,Pinkish Red,Oval,5,3.77,3,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,371,0.53,700,Red,Oval,5.21,4.3,2.43,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Ruby,371,0.53,700,Red,Oval,5.41,4.25,2.37,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Fair
Ruby,371,0.57,651,Red,Emerald Cut,6.67,4.8,2.56,Slightly Included,Emerald Cut,Intense,Mozambique,Heated,Fair
Yellow Sapphire,371,0.99,375,Yellow,Oval,7.02,5.12,3.7,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,371,1.06,350,Yellow,Oval,7.59,5.33,2.88,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,372,0.93,400,Blue,Round,5.87,5.91,3.37,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,372,0.45,827,Blue,Princess,4.03,3.99,2.97,Eye Clean,Princess Cut,Intense,Thailand,Heated,Good
Blue Sapphire,372,0.45,827,Blue,Princess,4.24,4.18,2.38,Eye Clean,Princess Cut,Vivid,Thailand,Heated,Good
Blue Sapphire,372,0.62,600,Blue,Oval,6.14,4.54,3.04,Very Slightly Included,Mixed Brilliant,Intense,Cambodia,Heated,Good
Blue Sapphire,372,0.93,400,Blue,Emerald Cut,6.09,4.07,3.4,Very Slightly Included,Emerald Cut,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,372,0.93,400,Blue,Oval,6.53,5.16,3.37,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,372,0.93,400,Yellow,Oval,7.06,5.1,3.74,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,374,0.88,425,Pink,Emerald Cut,5.4,4.45,3.73,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,374,0.68,550,Pink,Cushion,5.17,5.12,3.43,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,374,0.68,550,Purplish Pink,Oval,6.6,4.56,3.04,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,374,0.83,451,Purplish Pink,Oval,7,5.14,3.35,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Ruby,374,0.68,550,Purplish Red,Oval,6.01,4.25,2.84,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Fair
Ruby,374,0.32,1169,Purplish Red,Round,4.23,4.13,2.26,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Yellow Sapphire,374,0.68,550,Orangish Yellow,Cushion,5.35,4.99,3.34,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Excellent
Yellow Sapphire,374,0.72,519,Yellow,Cushion,5.65,4.94,3.26,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,374,1.56,240,Yellow,Oval,7.82,6.8,3.77,Slightly Included,Mixed Brilliant,Faint,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,374,1.56,240,Yellow,Round,5.55,5.44,3.76,Very Slightly Included,Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,375,0.75,500,Blue,Oval,6.74,4.46,3.14,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,375,0.75,500,Blue,Oval,6.16,4.82,2.94,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,375,1.25,300,Yellow,Round,6.54,6.57,3.75,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,375,0.79,475,Yellow,Oval,7.82,6.8,3.77,Slightly Included,Mixed Brilliant,Faint,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,376,0.94,400,Blue,Round,5.61,5.57,3.76,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,376,0.94,400,Pink,Round,6.05,6.05,3.28,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,376,0.94,400,Yellow,Oval,6.54,4.76,3.63,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Excellent
Ruby,377,0.58,650,Purplish Red,Pear,5.82,4.64,2.88,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Yellow Sapphire,377,0.58,650,Yellowish Green,Round,4.96,4.89,3.48,Very Slightly Included,Brilliant,Medium,Montana,No Enhancement,Good
Blue Sapphire,378,0.63,600,Bluish Purple,Oval,5.28,4.73,3.25,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,378,0.42,900,Blue,Round,4.63,4.64,2.81,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,378,0.54,700,Blue,Oval,5.94,4.03,2.5,Very Slightly Included,Mixed Brilliant,Dark,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,378,1.08,350,Pinkish Purple,Oval,7.51,5.59,3.69,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Ruby,378,0.54,700,Red,Oval,4.74,4.07,3.39,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,378,0.54,700,Red,Oval,5.39,4.11,2.59,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,378,0.54,700,Red,Oval,4.96,3.99,3.04,Very Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Good
Ruby,378,0.84,450,Pinkish Red,Oval,6.4,4.99,2.72,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Fair
Ruby,378,0.84,450,Pinkish Red,Oval,7.08,5.18,2.53,Slightly Included,Mixed Brilliant,Intense,Mozambique,Heated,Fair
White Sapphire,378,0.63,600,White,Round,5.31,5.31,3.27,Very Slightly Included,Mixed Brilliant,Colorless,Ceylon (Sri Lanka),No Enhancement,Good
White Sapphire,378,0.63,600,White,Trillion,5.48,5.69,3.28,Slightly Included,Trillion Cut,Colorless,Montana,Heated,Fair
White Sapphire,378,0.63,600,White,Round,5.19,5.16,3.34,Very Slightly Included,Mixed Brilliant,Colorless,Ceylon (Sri Lanka),No Enhancement,Good
White Sapphire,378,1.26,300,White,Emerald Cut,6.75,5.73,3.66,Slightly Included,Emerald Cut,Near Colorless,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,378,0.89,425,Yellow,Radiant,6.45,4.46,3.47,Very Slightly Included,Radiant Cut,Intense,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,380,0.95,400,Blue,Round,6.08,6.07,3.47,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,380,0.95,400,Blue,Pear,8.27,5.13,3.13,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,380,0.76,500,Blue,Round,5.01,5.05,3.55,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,380,0.76,500,Blue,Cushion,4.61,4.58,3.95,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,380,0.46,826,Blue,Princess,4.05,4,3.17,Eye Clean,Princess Cut,Vivid,Thailand,Heated,Good
Blue Sapphire,380,0.76,500,Blue,Oval,6.54,4.91,2.75,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,380,0.95,400,Blue,Round,6.19,6.15,3.21,Very Slightly Included,Mixed Brilliant,Dark,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,380,0.4,950,Blue,Emerald Cut,5.25,3.94,1.82,Very Slightly Included,Emerald Cut,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,380,0.76,500,Blue,Round,5.27,5.23,3.29,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,380,0.95,400,Purplish Blue,Oval,6.83,4.68,3.4,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,380,0.95,400,Color Change,Oval,6.28,4.71,3.81,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Green Sapphire,380,1.16,328,Green,Cushion,8.24,4.43,3.05,Very Slightly Included,Mixed Brilliant,Medium Intense,Africa,No Enhancement,Poor
Green Sapphire,380,0.98,388,Green,Heart,6.2,6.18,3.43,Very Slightly Included,Mixed Brilliant,Medium Intense,Africa,No Enhancement,Fair
Green Sapphire,380,0.76,500,Green,Pear,7.21,4.76,3.08,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
